Date,News_Count,Avg_Sentiment,Positive_Count,Negative_Count,Neutral_Count,open_price,close_price,high_price,low_price
2021-01-01,10,0.06999999999999999,2,1,7,28924.73,29433.895,29826.332388,28637.798982
2021-01-02,10,0.04481818181818182,3,1,6,29492.37,32264.445,33643.40346,28958.759134
2021-01-03,10,0.08296969696969698,3,2,5,32195.72,33144.82,34945.505465,31953.705
2021-01-04,10,0.039090909090909086,4,1,5,33208.015,31978.405,33802.83,27595.395
2021-01-05,10,0.11596103896103896,5,0,5,31978.405,34137.745,34645.415319,29763.994199
2021-01-06,10,0.08065151515151515,3,0,7,34141.05,36886.71,37129.848386,33268.492014
2021-01-07,10,0.0058333333333333345,2,1,7,36886.71,39613.1,40754.32,35976.09
2021-01-08,10,0.01995580808080808,3,3,4,39531.4,40731.385,42373.096744,36431.085
2021-01-09,10,0.02624675324675325,3,2,5,40648.465,40261.075,41631.61,38364.832022
2021-01-10,10,0.034999999999999996,1,0,9,40184.79,38242.985,41801.287604,34212.955
2021-01-11,10,-0.011515151515151515,2,2,6,38279.905,35524.255,38573.03,30099.55
2021-01-12,10,0.08833333333333333,3,1,6,35464.12,34035.005,36700.45,32340.67
2021-01-13,10,0.0898989898989899,6,1,3,34035.005,37407.83,38006.759242,32182.322424
2021-01-14,10,0.1118452380952381,4,0,6,37407.83,39201.635,40270.753869,36658.9
2021-01-15,10,0.08666666666666666,4,0,6,39112.795,36737.0,39832.14,34223.355
2021-01-16,10,0.05833874458874459,3,2,5,36650.635,36015.76,38124.745,35278.046632
2021-01-17,10,0.07724747474747475,3,0,7,35935.54,35825.17,36895.945,33640.666169
2021-01-18,10,0.0,0,0,10,35751.445,36637.255,37656.375,34677.841793
2021-01-19,10,0.13015151515151516,6,1,3,36711.525,35958.485,38002.399109,35018.24049
2021-01-20,10,0.054636363636363636,3,0,7,35894.695,35528.685,36608.76,33210.875072
2021-01-21,10,0.10666666666666666,4,3,3,35453.62,30756.765,35727.77,29784.905
2021-01-22,10,0.025,2,1,7,30751.52,33093.8,34027.735,28564.768827
2021-01-23,10,0.026428571428571433,2,1,7,33093.805,32112.3,33540.595,31339.299467
2021-01-24,10,0.018333333333333333,1,0,9,32045.47,32223.06,33172.76,30827.762298
2021-01-25,10,0.066,2,0,8,32223.06,32247.875,34942.71,31557.23
2021-01-26,10,0.16749999999999998,4,2,4,32177.18,32508.075,33165.83,30727.052249
2021-01-27,10,0.014444444444444446,1,0,9,32575.465,30410.415,32681.305,29136.809052
2021-01-28,10,0.014318181818181818,3,1,6,30410.415,33418.075,34025.91,29819.350013
2021-01-29,10,0.08,2,0,8,33418.075,34290.3,38838.235,31780.559199
2021-01-30,9,0.04814814814814815,1,0,8,34290.86,34311.57,35246.247903,32731.4
2021-01-31,10,0.045,2,0,8,34240.53,33128.635,34527.035,32025.466514
2021-02-01,10,0.13488636363636364,5,0,5,33060.215,33528.89,34845.59,32219.71433
2021-02-02,10,0.04,2,0,8,33528.89,35495.675,36203.806192,33324.087588
2021-02-03,10,0.14863636363636362,4,1,5,35425.04,37682.64,37820.915248,35326.06
2021-02-04,10,0.16099999999999998,3,0,7,37752.59,36993.005,38901.595917,36126.490256
2021-02-05,10,0.05121212121212121,4,1,5,36993.005,38284.365,38513.745,36521.062915
2021-02-06,10,-0.023863636363636365,3,2,5,38353.95,39295.5,41095.551794,38099.105
2021-02-07,10,0.03071969696969697,2,0,8,39295.5,38842.42,39836.215,37248.40522
2021-02-08,10,-0.06733333333333333,2,2,6,38842.42,46498.88,46936.629063,37953.23
2021-02-09,10,0.047386363636363636,2,1,7,46498.88,46504.26,48496.756528,44898.149857
2021-02-10,10,0.07833333333333334,2,0,8,46427.04,44835.07,47583.83,43560.804132
2021-02-11,10,0.09245,4,0,6,44914.03,47990.58,48825.106621,43767.391992
2021-02-12,10,0.05581818181818182,3,0,7,47990.58,47537.845,49084.346296,46110.46
2021-02-13,10,0.010000000000000004,2,1,7,47434.615,47229.595,48366.45,46076.86
2021-02-14,10,-0.016666666666666666,0,1,9,47329.56,48748.83,49896.52,46983.835
2021-02-15,10,0.0011111111111111126,2,2,6,48648.515,47964.81,49120.95,45509.3231
2021-02-16,10,-0.051517857142857136,3,3,4,48064.08,49220.595,50892.145,46929.408378
2021-02-17,10,0.01106818181818182,2,1,7,49126.64,52166.44,52839.91,48779.945
2021-02-18,10,-0.021931818181818184,1,2,7,52056.645,51659.615,52780.48,50733.444918
2021-02-19,10,0.032443181818181815,2,1,7,51551.245,56000.87,57492.71,50547.779873
2021-02-20,10,0.176,4,0,6,56121.57,55993.09,57918.175,52147.305
2021-02-21,8,0.07820075757575756,4,1,3,55993.09,57497.31,58631.315,54955.885
2021-02-22,10,0.09683333333333334,3,1,6,57497.31,54132.73,57839.34,46275.225
2021-02-23,10,0.024999999999999994,3,1,6,54022.255,48879.475,54504.86,44687.35
2021-02-24,10,0.10166666666666666,4,2,4,48879.475,49776.3,51579.795,46763.535
2021-02-25,10,0.10931818181818183,2,0,8,49672.51,47067.73,52246.206419,46552.26564
2021-02-26,10,-0.07953030303030302,3,3,4,47067.73,46308.39,48868.895,44099.95
2021-02-27,9,0.1740079365079365,3,2,4,46408.9,46152.895,49004.715,44878.368482
2021-02-28,7,-0.01428571428571429,1,1,5,46057.165,45304.68,47044.495,42851.66229
2021-03-01,10,0.0,0,0,10,45214.275,49660.98,49973.705,44839.72
2021-03-02,10,0.0921031746031746,4,1,5,49770.725,48369.315,50499.885,46926.418618
2021-03-03,10,0.065,2,1,7,48369.315,50471.49,52834.395,47964.715
2021-03-04,10,0.086,3,1,6,50471.49,48267.855,52200.74,47315.938717
2021-03-05,10,0.012727272727272722,2,1,7,48364.6,48821.985,49656.82,46135.706084
2021-03-06,7,0.09999999999999999,3,1,3,48723.145,49021.39,49394.16,46946.578285
2021-03-07,8,0.023295454545454543,1,0,7,49041.8,51058.355,51580.065,48236.735
2021-03-08,10,0.0553030303030303,3,0,7,50965.09,52303.935,52551.215,49142.835865
2021-03-09,10,0.010303030303030314,3,2,5,52292.13,54811.27,55090.06,50719.575
2021-03-10,10,-0.06964141414141414,1,3,6,54790.16,56054.855,57871.335,51877.41
2021-03-11,10,0.027499999999999997,2,2,6,56054.855,57717.825,58405.606612,54148.995
2021-03-12,10,-0.029333333333333333,2,2,6,57705.805,57279.445,58239.105,54849.174433
2021-03-13,10,0.0699848484848485,4,1,5,57162.3,61243.875,62068.26,55870.761078
2021-03-14,9,0.18425925925925923,5,0,4,61365.165,59025.97,61893.61,58877.615374
2021-03-15,10,0.08249999999999999,3,2,5,59133.115,55642.825,60815.995,54473.675
2021-03-16,10,0.08641666666666667,5,1,4,55628.41,56939.24,58238.33,52884.175
2021-03-17,10,0.190625,5,0,5,56939.24,58947.155,59317.165,54009.375
2021-03-18,10,0.11363636363636362,5,2,3,58947.155,57623.93,60737.545,56787.205
2021-03-19,10,0.0024999999999999996,1,1,8,57623.93,58121.735,59683.46,55993.57
2021-03-20,6,0.18611111111111112,3,0,3,58001.63,58006.48,60087.51,57638.097629
2021-03-21,5,0.09333333333333335,2,0,3,58006.48,57404.605,59539.945,55444.56
2021-03-22,10,0.11499999999999999,3,0,7,57404.605,54197.86,58954.655,53523.182228
2021-03-23,10,0.075,2,0,8,54197.86,54258.32,57134.76,52830.56563
2021-03-24,10,-0.004999999999999999,1,1,8,54235.115,52361.775,57923.64,51523.665229
2021-03-25,10,0.061136363636363635,2,1,7,52361.775,51423.435,54837.21,50243.145771
2021-03-26,10,0.09664772727272727,3,0,7,51455.37,54978.99,56365.44,51080.94
2021-03-27,10,-0.09749999999999999,0,3,7,54978.99,55873.575,56818.205,53385.335
2021-03-28,10,-0.025181818181818184,1,1,8,55873.575,55788.845,56808.92,54557.86
2021-03-29,10,0.017378787878787882,3,1,6,55788.845,57627.705,58597.240602,54725.335
2021-03-30,10,0.0625,2,1,7,57627.705,58770.09,61043.345,56818.805
2021-03-31,10,0.03958333333333333,3,3,4,58891.53,58804.33,60021.935,56678.826567
2021-04-01,10,0.09204040404040403,4,1,5,58676.1,58724.145,59653.595,57702.239327
2021-04-02,10,-0.004999999999999999,2,2,6,58842.495,58994.825,60272.98214,58210.92
2021-04-03,10,0.135,2,1,7,59119.575,56926.645,59964.86,56677.805
2021-04-04,9,-0.008333333333333328,1,2,6,56901.95,58213.41,58625.9,56207.145
2021-04-05,10,-0.015,0,1,9,58338.155,59080.72,59402.99,56600.614073
2021-04-06,10,-0.005000000000000002,2,1,7,59197.86,57982.22,59668.115,57183.307576
2021-04-07,10,0.003500000000000003,2,2,6,58078.55,55952.675,58802.465,55299.566636
2021-04-08,10,0.08875,3,1,6,55853.185,57993.67,58312.255,55525.919663
2021-04-09,10,0.1827272727272727,5,0,5,57980.19,58115.17,59076.14,57076.4
2021-04-10,10,-0.003683838383838382,2,2,6,58115.17,59778.23,61513.795,57540.61
2021-04-11,10,0.11301060606060606,3,0,7,59778.23,59982.69,60829.79,58734.775
2021-04-12,10,0.09166666666666667,3,0,7,59982.69,59992.715,61474.82,59235.94
2021-04-13,10,0.048378787878787875,4,0,6,59833.245,63674.645,63941.805,59583.678782
2021-04-14,10,0.09433333333333332,6,1,3,63842.375,62941.13,65119.602594,61148.553677
2021-04-15,10,0.07574675324675326,4,0,6,62775.79,63271.795,64098.07,61482.825
2021-04-16,10,0.013333333333333332,1,1,8,63271.795,61254.22,64016.82,59865.199342
2021-04-17,10,-0.05333333333333333,1,2,7,61254.22,60071.37,62827.365,59515.015
2021-04-18,10,-0.011583333333333331,2,2,6,60071.37,56307.985,60615.321695,49269.465
2021-04-19,10,0.0803030303030303,4,0,6,56307.985,55678.96,59020.68,53247.91
2021-04-20,10,0.08383333333333334,3,1,6,55817.255,56505.65,57292.77,53013.18
2021-04-21,10,0.1275,3,0,7,56361.355,53826.575,56989.1,53498.297023
2021-04-22,10,-0.16899999999999998,2,3,5,53940.81,51700.13,55609.044558,50334.945024
2021-04-23,10,0.07583333333333334,2,0,8,51581.745,51176.025,52305.02,46864.325
2021-04-24,9,0.06666666666666667,3,2,4,51176.025,50115.745,52809.02,48353.5
2021-04-25,9,0.04570707070707071,3,0,6,50115.745,49122.125,50722.31,46490.82
2021-04-26,10,0.11722222222222223,5,0,5,49248.365,54001.86,54547.751231,48670.423731
2021-04-27,10,0.1064285714285714,4,0,6,53990.35,55098.25,55684.556172,53216.98
2021-04-28,10,-0.03401515151515152,1,2,7,55246.855,54744.055,56571.635873,53732.395
2021-04-29,10,0.0875,3,1,6,54744.055,53596.595,55751.69,52237.498293
2021-04-30,10,-0.06136363636363636,1,2,7,53730.645,57950.4,58166.67,52926.572153
2021-05-01,10,-0.0475,0,3,7,57803.745,57880.28,58724.605,56904.464447
2021-05-02,8,0.09930555555555555,2,1,5,57731.295,56616.965,58150.753518,55964.82211
2021-05-03,10,0.18681818181818183,4,0,6,56474.96,57205.85,59174.88,55311.325
2021-05-04,10,0.02,1,1,8,57352.45,53350.53,57864.725,52944.692035
2021-05-05,10,0.11696969696969699,4,0,6,53215.25,57562.375,58099.157543,52772.255
