,XGBoost,Random Forest,Grad. Boosting,SVR,Mean
Return_Std7,1.2766364,1.2568973549162847,1.28341830678519,1.2248017676402054,1.2604384478543715
Close_MA30,0.013853399,0.0014085372701664294,0.011909978446256658,0.09686683206142936,0.03100968671521769
Close_Lag7,0.0015121027,0.0011343918989086957,0.0005951105287991297,0.052273640251842356,0.013878811336465288
Volatility_30d,0.008006864,0.0010540133047834501,0.006665376811134324,0.038942346167330465,0.013667150127650692
Volume_MA7,0.0039472645,0.0006443182933156688,0.007580750902301653,0.018101063447392037,0.007568349289468213
Close,0.005317399,0.0026496237310661658,0.005369860419518011,0.014404117018295644,0.006935249995375413
Tweet_Sentiment_Lag3,0.0071514514,0.003855020987781696,0.00893444202657879,0.0034922348937715887,0.005858287333905398
Close_MA7,0.00077366293,0.0005482175440618796,0.0003214576660702888,0.013797906724906911,0.0038603112172797115
Price_Range_Pct,0.0046712784,0.000959437952688843,0.0022622880030851084,0.006243733328760634,0.003534184423548612
Return_Lag3,0.004843144,0.0006626747829311633,0.004268610580269181,0.0006838416739278441,0.0026145678122615756
Tweet_Sent_MA7,0.0029190246,0.0019461118840342468,0.003349788722012699,0.0003652312277713541,0.002145039097207721
News_Sent_MA7,0.0039560157,0.0005263311356880206,0.002249705423807932,0.0006758597617367853,0.0018519780021671508
Tweet_Sentiment_Lag1,0.0038160952,0.0007614843536318842,0.0020028553638074447,0.0007482962382371765,0.0018321827841215007
Close_Lag2,0.0014813596,0.0014644935478291402,0.002893722981452161,0.0013176963410202376,0.0017893181155022814
Tweet_Sentiment,0.0019880645,0.00040580340494310606,0.0035922161618226686,1.8724877682700507e-05,0.0015012022355394374
