,Random Forest,XGBoost,Gradient Boosting,SVR,Neural Network,LSTM,avg
Return_Std7,0.8365522345919707,0.8514461,0.8513006892237306,0.3177161306363087,0.2383669789634428,0.0012226793131952347,0.516100800809567
Volatility_30d,0.0007478896525904475,0.001852393,0.0012930940588974482,0.015323969296634836,0.043437278842042126,0.00042348540684003706,0.010513018381819861
Tweet_Avg_Sentiment_Lag7,0.0005729779067203583,0.0019671,0.003021419449347334,0.006736033992540271,0.021212185913714827,0.0009397340313028346,0.005741575209086503
Tweet_Positive_Count_Lag7,0.0002775241987651647,4.019664e-05,4.7796647995426246e-05,0.020800255796758284,0.00665110008491322,0.0009481008378958839,0.0047941623675579964
Tweet_Avg_Sentiment_Lag1,0.0005470575313474662,0.00065016345,0.0011777429859315064,0.017509496390746317,0.005413580139578015,0.0012069512542696777,0.0044174986251257235
Tweet_Avg_Sentiment_Lag3,0.002066110916944412,0.002803441,0.005837766199169304,0.0055664444567089305,0.0034179711889703946,0.000732796266752191,0.0034040883221316686
Tweet_Positive_Count_Lag2,0.0003215099038667547,9.641429e-05,4.647910460194763e-06,0.011114995848024624,0.007303729289142962,0.0008332042715877817,0.003279083585371419
Price_Range_Pct,0.000585693812842685,0.00082654547,0.001606583084067635,0.0017599442248157023,0.013851555643828024,0.0006809389291413255,0.003218543526971656
Tweet_Positive_Count,0.00021904905270359,4.0687777e-05,0.0006137864747682752,0.003515516667964558,0.014089506643001381,0.0007297550283120538,0.003201383607303791
News_Avg_Sentiment_Lag7,0.0005995596111889465,0.00013403209,0.0003265751061274906,0.009978440815588822,0.007597088835452189,0.0005416368676961713,0.003196222220789124
Tweet_Avg_Sentiment_Lag2,0.00029917284864566156,0.00018283192,0.0003727403924951231,0.012828074864619204,0.004410222167129179,0.0009005861558740794,0.003165604725101797
News_Avg_Sentiment_Lag1,0.000454290672269479,0.00067722495,0.0006317694048513231,0.00607512801891043,0.010367489987733942,0.0003055818305460869,0.0030852474769084803
Tweet_Positive_Count_Lag1,0.00027067755184605327,0.0005523968,0.00034232799036059677,0.011958512676637346,0.0038923552668618734,0.0005081556924146049,0.002920737665332279
Daily_Return_Lag7,0.0009969953082041355,0.0021766503,0.002054565376924021,0.0032248591574213967,0.007621471426381248,0.0005344962635700783,0.0027681729777750794
News_Neutral_Count,0.0002287097885804272,0.00015705048,0.00019806137737952804,0.01022013920747496,0.004737153518803287,0.00014144720011876195,0.002613760262528217
News_Positive_Count_Lag1,0.00015534873360424823,3.0326635e-05,2.7912915044664934e-05,0.004043545789186724,0.009297719587836912,0.0007500054353957613,0.0023841431827062733
News_Positive_Count_Lag2,0.0003897471171340115,0.00012851034,9.058489875662667e-07,0.0018545791679617143,0.010690094871773533,0.0006333477343916802,0.0022828641792653993
Tweet_Avg_Sentiment,0.0001443142124891267,0.00017743267,0.0003184916391592001,0.009683400306763767,0.002239964748052935,0.0009152667348878048,0.002246478384647588
Tweet_Neutral_Count_Lag7,0.00023382185919289307,4.0880437e-05,4.663654393432428e-06,0.0035503015924020897,0.008376684916362316,0.0010339699718744995,0.0022067204052299647
Tweet_Neutral_Count_Lag3,0.0009337466165663792,0.0042111967,0.0010425191154097098,0.0015658622686686974,0.004640182247964638,0.0005813019137691684,0.0021624681397125396
Tweet_Positive_Count_Lag3,0.0001380048988084524,0.00018257811,0.0001755310244524189,0.009851498606774794,0.0016126779496959847,0.0006480963358238918,0.0021013978204829442
News_Neutral_Count_Lag1,0.00017710627087819854,1.0502757e-05,0.0007807358804251558,0.008476499157007458,0.002855886435957687,0.00010868805563043579,0.0020682364260823367
Tweet_Negative_Count_Lag2,0.0003312932131621021,1.9897305e-05,6.328712119528397e-05,0.00358502975276604,0.008095467338458569,0.0001954898483129945,0.0020484107631174985
Tweet_Negative_Count_Lag3,0.0009089324504186491,0.0008497052,0.00012233045039548808,0.002741794807695386,0.006797967564570065,0.00025628536342215904,0.0019461693043280371
Daily_Return_Lag3,0.0002974681553342128,0.0010341846,0.0013461607053259386,0.005101145459284465,0.002331637025167822,0.000726645021284379,0.0018062068263735825
Tweet_Negative_Count_Lag7,0.0002237250462429587,3.5302488e-05,4.958995225152971e-07,0.0037939678516227472,0.005535424487112854,0.0012067455202423535,0.0017992768821170192
News_Count_Lag7,1.2882039540956199e-05,0.0,0.0,0.007783344125400498,0.0026906993875082785,0.00016700175644142657,0.00177565455148186
Daily_Return,0.0005860143825196665,0.001704237,0.00018728230367693057,0.004956627261597002,0.0023440700493774407,0.00045407879075513364,0.0017053849576836781
Open,0.00039670851967581004,0.0048235324,0.00018135629058008054,0.002394019992149401,0.0016176513815854654,0.0005157861136365606,0.0016548424531281968
MA30,0.0005399333577715858,0.002322964,0.0029491139018038544,0.0011804941811631856,0.0025329755323094563,0.00033787681120098695,0.0016438929481397474
Volume,0.0002987427309711303,0.0006914488,0.0008871482322521848,0.004183339065503662,0.003219897546830457,0.0005057934904175408,0.0016310616449943423
Tweet_Count,0.0003877306082164247,0.0003915704,0.0002826692242378582,0.005076133130698487,0.0025351813420261236,0.0006977386880499686,0.0015618372297957258
News_Neutral_Count_Lag7,0.0002425303220878629,6.472229e-05,0.00013442554783846998,0.004851133059732504,0.003271934363239992,0.0006052914896246245,0.0015283395123250312
News_Avg_Sentiment_Lag3,0.0004209959236269998,0.0003072567,9.154369813787611e-05,0.004409371193930815,0.003126810967988458,0.0007149002613608152,0.0015118131250287702
News_Neutral_Count_Lag2,0.0005529275674604028,0.0006510906,0.0009254340276652832,0.003457468398616828,0.002516657691420947,0.0006422291286903629,0.0014576345657263687
News_Neutral_Count_Lag3,0.00017811465557678301,0.00018231077,0.00012421742458225475,0.005167616071768994,0.0027615571715828326,0.0002634245035992345,0.0014462067668695939
News_Avg_Sentiment_Lag2,0.0003156562047916919,0.00053296477,0.000454209050226359,0.004615720632294482,0.0024340155449901974,0.00018780771548881182,0.0014233956526908988
Daily_Return_Lag2,0.00027479646494213037,0.00038758985,0.0003660611503669061,0.005674055977755113,0.0013535527591478677,0.0003595104200523772,0.0014025944378197198
Close,0.001175997472436198,0.002732342,0.0012307786112272163,0.0010239643927328669,0.0012562916690672251,0.000546161827792394,0.0013275893470566715
Close_Lag3,0.0006125920611030661,0.00071590644,0.0012808551889343335,0.0020840546092193513,0.0027702045464301096,0.00043884300281643454,0.001317075974874889
Tweet_Neutral_Count,0.00014888744488747246,0.00037067075,0.00047689647145581583,0.00147619695915122,0.0043218043559830124,0.0010786051088003267,0.001312176848424896
News_Avg_Sentiment,0.0001842311933882957,0.00028785164,8.618918009714595e-05,0.0037451542555940204,0.003074058461534135,0.0003637228786287336,0.0012902012680169113
Price_Range,0.000240127343202065,0.0003743267,0.000585972270258215,0.0015380205391883623,0.003984824921623943,0.0009575932829076494,0.001280144173887041
Tweet_Negative_Count_Lag1,0.00038549013299071685,3.4953027e-05,0.0001912029166917604,0.0022752657844226608,0.004043675325988768,0.00034469470033578545,0.0012125469812970249
News_Positive_Count_Lag7,0.00014292025854234443,1.4102674e-05,0.00017965744949515058,0.0019842737383936487,0.004183439182980477,0.0007643146257755633,0.001211451321524265
Tweet_Count_Lag2,0.0002214987622724668,0.0006988211,0.0015515752488213142,0.0027234788432996277,0.0016591762064691999,0.00030389110984814033,0.0011930735443324706
News_Positive_Count_Lag3,0.00019952931929898744,0.00018603448,6.049955011966526e-06,0.002887083296090392,0.0026254374233841047,0.0010005593981585138,0.0011507823116985217
